Country,Capital,Population,MEPs
Austria,Vienna,"8,858,775",19
Belgium,Brussels,"11,467,923",21
Bulgaria,Sofia,"7,000,039",17
Croatia,Zagreb,"4,076,246",12
Cyprus,Nicosia,"875,898",6
Czech Republic,Prague,"10,649,800",21
Denmark,Copenhagen,"5,806,081",14
Estonia,Tallinn,"1,324,820",7
Finland,Helsinki,"5,517,919",14
France,Paris,"67,028,048",79
Germany,Berlin,"83,019,214",96
Greece,Athens,"10,722,287",21
Hungary,Budapest,"9,797,561",21
Ireland,Dublin,"4,904,226",13
Italy,Rome,"60,359,546",76
Latvia,Riga,"1,919,968",8
Lithuania,Vilnius,"2,794,184",11
Luxembourg,Luxembourg City,"613,894",6
Malta,Valletta,"493,559",6
Netherlands,Amsterdam,"17,282,163",29
Poland,Warsaw,"37,972,812",52
Portugal,Lisbon,"10,276,617",21
Romania,Bucharest,"19,401,658",33
Slovakia,Bratislava,"5,450,421",14
Slovenia,Ljubljana,"2,080,908",8
Spain,Madrid,"46,934,632",59
Sweden,Stockholm,"10,230,185",21
